ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_end,shuffle,skipped,count
2023-05-24T17:01:36Z,phone,7496,The Great Mermaid,LE SSERAFIM,FEARLESS,spotify:track:5XO1SOADQxkdqGLFxX8rLN,endplay,True,True,37
2023-12-08T23:40:55Z,desktop,130616,uh oh,Tate McRae,uh oh,spotify:track:6qmvAJSUfVGMubvI2awW7p,endplay,True,True,33
2023-12-20T19:26:58Z,desktop,39520,Blue Orangeade,TOMORROW X TOGETHER,The Dream Chapter: STAR,spotify:track:3HHFOztnhfIWxjOr2s06sw,fwdbtn,True,True,30
2023-12-19T06:54:38Z,desktop,3993,Good Parts (when the quality is bad but I am),LE SSERAFIM,ANTIFRAGILE,spotify:track:1sZBzYhrQG40zcSuKkI93c,endplay,True,True,30
2023-12-15T08:32:51Z,desktop,3890,Wishlist,TOMORROW X TOGETHER,minisode1 : Blue Hour,spotify:track:4A6f3zMLDDAUgkGTLtpMc3,fwdbtn,False,True,30
2024-02-22T05:06:48Z,desktop,10560,Let Me Down Easy (Lie),Why Don't We,Let Me Down Easy (Lie),spotify:track:4w9qnwPPJRWPOw6DHhNtIc,endplay,True,True,29
2023-12-19T07:06:46Z,desktop,8846,LOVE DIVE,IVE,LOVE DIVE,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,endplay,True,True,26
2023-07-31T14:37:57Z,phone,1870,CAKE,ITZY,KILL MY DOUBT,spotify:track:3syxwxJqX5jpgjNYmvzdW6,endplay,True,True,25
2023-05-27T01:58:02Z,desktop,2681,MAGO,GFRIEND,回:Walpurgis Night,spotify:track:46WaBBaEHzgbN88Ew0nh50,endplay,True,True,25
2023-05-27T16:17:43Z,phone,1230,Ring The Alarm,KARD,KARD 5th Mini Album 'Re:',spotify:track:6jUq2EfNMW7SizzNVVGvhm,fwdbtn,True,True,24
2023-12-14T20:31:13Z,desktop,124163,Raise y_our glass,HUH YUNJIN,Raise y_our glass,spotify:track:7j1vFohEm1lbsctYY9gyGd,fwdbtn,True,True,23
2023-12-19T07:04:56Z,desktop,2089,Devil by the Window,TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,spotify:track:53H3sGmqiXWO4MwuZAJfyn,endplay,True,True,23
2023-05-27T18:56:32Z,phone,1486,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',spotify:track:0a4MMyCrzT0En247IhqZbD,fwdbtn,True,True,23
2023-05-11T02:21:11Z,desktop,87661,ILLUSION,ATEEZ,TREASURE EP.3 : One To All,spotify:track:4hQHA562yLkVKlakkOkz5l,fwdbtn,True,True,23
2023-12-19T07:02:44Z,desktop,1474,Super Bowl,Stray Kids,5-STAR,spotify:track:3OhW68CiyfCoeGntozuUMl,endplay,True,True,22
2023-05-26T04:15:36Z,desktop,4934,Crush,SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',spotify:track:68kHuoBxtNcWZWxBu1V007,endplay,True,True,22
2023-05-25T01:40:26Z,desktop,129381,WANNABE,ITZY,IT'z ME,spotify:track:4pspYVQGFHLPEFgQPD1J7e,fwdbtn,True,True,22
2023-12-19T07:06:25Z,desktop,15580,BEAUTIFUL MONSTER,STAYC,WE NEED LOVE,spotify:track:56s2s5e8WuBsWVKnmz6J9L,endplay,True,True,22
2023-12-15T08:32:52Z,desktop,1040,0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,The Chaos Chapter: FREEZE,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,fwdbtn,False,True,21
2023-12-20T21:41:17Z,desktop,55903,"WITCH (Feat. Jay Park, So!YoON!) (Prod. by Slom)",Lee Young Ji,SHOW ME THE MONEY 11 Semi Final,spotify:track:1v520W6rEa0nB2vvqAxnU3,fwdbtn,True,True,21
2023-06-24T19:08:14Z,phone,10410,CLAP,SEVENTEEN,"SEVENTEEN 2ND ALBUM 'TEEN, AGE' (2)",spotify:track:19t5GSN3XsLB7UOsZD8Fwv,endplay,True,True,21
2023-12-19T07:05:02Z,desktop,3796,Happy Fools (feat. Coi Leray),TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,spotify:track:77LZvE2XLYn2AW55UxIG8H,endplay,True,True,21
2023-12-23T10:08:40Z,phone,1002,CASE 143,Stray Kids,MAXIDENT,spotify:track:3O8G8eVrhfXTGttyQ1xVuq,fwdbtn,True,True,21
2023-12-19T07:03:48Z,desktop,2356,"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,UNFORGIVEN,spotify:track:4QhnNyKDsAkXPwHkSnuc89,endplay,True,True,21
2023-05-25T01:40:29Z,desktop,2217,Out Of The Woods,Taylor Swift,1989,spotify:track:6Nde5KuTXyB7jlPO4upaBo,endplay,True,True,20
2023-12-05T22:49:59Z,desktop,20353,DON QUIXOTE,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',spotify:track:7BiEgR5r0yMmFoWC9kOTGf,endplay,True,True,20
2023-12-19T07:05:05Z,desktop,3308,"Farewell, Neverland",TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,spotify:track:43mnNatwMMydJ4CxMdQVnJ,endplay,True,True,20
2023-06-11T21:13:32Z,desktop,2844,Victoria's Secret,Jax,Victoria’s Secret,spotify:track:4svaKoxMMP7ImmKrD5hfQu,fwdbtn,True,True,20
2023-06-20T00:39:10Z,desktop,170295,Changer,A.C.E,Changer : Dear Eris,spotify:track:5A3BZXpLvw399NrvWatRMJ,endplay,True,True,20
2023-05-25T05:06:40Z,desktop,59722,Bejeweled,Taylor Swift,Midnights,spotify:track:3qoftcUZaUOncvIYjFSPdE,endplay,True,True,20
2023-12-19T22:50:13Z,desktop,10260,HOT,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',spotify:track:6I2tqFhk8tq69iursYxuxd,endplay,True,True,19
2023-12-19T07:06:32Z,desktop,4620,Ready to love,SEVENTEEN,SEVENTEEN 8th Mini Album 'Your Choice',spotify:track:2FymmKBuog0loCuNXMwQID,endplay,True,True,19
2023-05-27T02:01:33Z,desktop,1462,Ditto,NewJeans,Ditto,spotify:track:3r8RuvgbX9s7ammBn07D3W,endplay,True,True,19
2023-05-30T19:53:49Z,phone,3778,Impurities,LE SSERAFIM,ANTIFRAGILE,spotify:track:7F0MuIk5glqtowCUjbn9es,fwdbtn,True,True,19
2023-05-27T01:48:53Z,desktop,2565,Cheshire,ITZY,CHESHIRE,spotify:track:7ixVW7RobslvMrvlzHYLha,endplay,True,True,19
2023-05-25T02:18:04Z,desktop,153265,NOT SORRY (Feat. pH-1) (Prod. by Slom),Lee Young Ji,SHOW ME THE MONEY 11 Episode 3,spotify:track:5UOY3OZib7H4KFwTfsT66g,fwdbtn,True,True,19
2023-05-23T17:16:40Z,desktop,142518,labour,Paris Paloma,labour,spotify:track:2Ggr9IfS70wYQacW8nZKPG,endplay,True,True,18
2023-05-16T02:58:38Z,phone,15550,Flowers,Miley Cyrus,Flowers,spotify:track:0yLdNVWF3Srea0uzk55zFn,fwdbtn,True,True,18
2023-05-27T02:01:34Z,desktop,1381,ILLELLA,MAMAMOO,MIC ON,spotify:track:0oeVHAgY8Q7Mdce5Quj2G4,endplay,True,True,18
2023-05-27T01:57:25Z,desktop,4713,STEREOTYPE,STAYC,STEREOTYPE,spotify:track:2bZIDMpzVooosmPHn0tHnd,endplay,True,True,18
2023-05-24T17:28:18Z,phone,7296,Can't We Just Leave the Monster Alive?,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,spotify:track:4O7sUONPtqPBUKXuAMsoak,endplay,True,True,18
2023-12-11T06:00:11Z,desktop,950,Just Friends,Why Don't We,Just Friends,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,fwdbtn,True,True,18
2023-05-26T01:42:22Z,desktop,1114,Blueming,IU,Love poem,spotify:track:4Dr2hJ3EnVh2Aaot6fRwDO,fwdbtn,True,True,18
2023-12-19T07:04:42Z,desktop,4957,Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,The Name Chapter: TEMPTATION,spotify:track:0f0SbtoKGe41cX5LzlnX6X,endplay,True,True,18
2023-12-20T04:21:49Z,desktop,2940,"Hey Look Ma, I Made It",Panic! At The Disco,Pray for the Wicked,spotify:track:22oEJW6r2rMb9z4IntfyEa,fwdbtn,True,True,18
2023-12-20T19:36:05Z,desktop,882,The Kids Are All Dying,FINNEAS,Optimist,spotify:track:6Q5RirBa4y7WH4PnfkFcIS,fwdbtn,True,True,18
2023-05-27T01:49:15Z,desktop,14849,CHERRY,ITZY,IT'z ICY,spotify:track:0w63dfnXnMUEjHTH3dGcLQ,endplay,True,True,18
2023-12-19T07:04:09Z,desktop,4191,Fire,SEVENTEEN,SEVENTEEN 10th Mini Album 'FML',spotify:track:2hqn75Y9fEzL0qPoPRXCvX,endplay,True,True,18
